weight,height,gender
88.6,174.0,1
84.1,175.3,1
66.8,185.4,1
75.5,177.8,1
93.2,180.3,1
82.7,180.3,1
58.0,177.8,1
79.5,177.8,1
78.6,177.8,1
71.8,177.8,1
116.4,177.8,1
72.2,163.8,1
83.6,188.0,1
85.5,198.1,1
90.9,175.3,1
85.9,166.4,1
89.1,190.5,1
75.0,166.4,1
77.7,177.8,1
86.4,179.7,1
90.9,172.7,1
73.6,190.5,1
76.4,185.4,1
69.1,168.9,1
84.5,167.6,1
64.5,175.3,1
69.1,170.2,1
108.6,190.5,1
86.4,177.8,1
80.9,190.5,1
87.7,177.8,1
94.5,184.2,1
80.2,176.5,1
72.0,177.8,1
71.4,180.3,1
72.7,171.4,1
84.1,172.7,1
76.8,172.7,1
63.6,177.8,1
80.9,177.8,1
80.9,182.9,1
85.5,170.2,1
68.6,167.6,1
67.7,175.3,1
66.4,165.1,1
102.3,185.4,1
70.5,181.6,1
95.9,172.7,1
84.1,190.5,1
87.3,179.1,1
71.8,175.3,1
65.9,170.2,1
95.9,193.0,1
91.4,171.4,1
81.8,177.8,1
96.8,177.8,1
69.1,167.6,1
82.7,167.6,1
75.5,180.3,1
79.5,182.9,1
73.6,176.5,1
91.8,186.7,1
84.1,188.0,1
85.9,188.0,1
81.8,177.8,1
82.5,174.0,1
80.5,177.8,1
70.0,171.4,1
81.8,185.4,1
84.1,185.4,1
90.5,188.0,1
91.4,188.0,1
89.1,182.9,1
85.0,176.5,1
69.1,175.3,1
73.6,175.3,1
80.5,188.0,1
82.7,188.0,1
86.4,175.3,1
67.7,170.5,1
92.7,179.1,1
93.6,177.8,1
70.9,175.3,1
75.0,182.9,1
93.2,170.8,1
93.2,188.0,1
77.7,180.3,1
61.4,177.8,1
94.1,185.4,1
75.0,168.9,1
83.6,185.4,1
85.5,180.3,1
73.9,174.0,1
66.8,167.6,1
87.3,182.9,1
72.3,160.0,1
88.6,180.3,1
75.5,167.6,1
101.4,186.7,1
91.1,175.3,1
67.3,175.3,1
77.7,175.9,1
81.8,175.3,1
75.5,179.1,1
84.5,181.6,1
76.6,177.8,1
85.0,182.9,1
102.5,177.8,1
77.3,184.2,1
71.8,179.1,1
87.9,176.5,1
94.3,188.0,1
70.9,174.0,1
64.5,167.6,1
77.3,170.2,1
72.3,167.6,1
87.3,188.0,1
80.0,174.0,1
82.3,176.5,1
73.6,180.3,1
74.1,167.6,1
85.9,188.0,1
73.2,180.3,1
76.3,167.6,1
65.9,183.0,1
90.9,183.0,1
89.1,179.1,1
62.3,170.2,1
82.7,177.8,1
79.1,179.1,1
98.2,190.5,1
84.1,177.8,1
83.2,180.3,1
83.2,180.3,1
51.6,161.2,0
59.0,167.5,0
49.2,159.5,0
63.0,157.0,0
53.6,155.8,0
59.0,170.0,0
47.6,159.1,0
69.8,166.0,0
66.8,176.2,0
75.2,160.2,0
55.2,172.5,0
54.2,170.9,0
62.5,172.9,0
42.0,153.4,0
50.0,160.0,0
49.8,147.2,0
49.2,168.2,0
73.2,175.0,0
47.8,157.0,0
68.8,167.6,0
50.6,159.5,0
82.5,175.0,0
57.2,166.8,0
87.8,176.5,0
72.8,170.2,0
54.5,174.0,0
59.8,173.0,0
67.3,179.9,0
67.8,170.5,0
47.0,160.0,0
46.2,154.4,0
55.0,162.0,0
83.0,176.5,0
54.4,160.0,0
45.8,152.0,0
53.6,162.1,0
73.2,170.0,0
52.1,160.2,0
67.9,161.3,0
56.6,166.4,0
62.3,168.9,0
58.5,163.8,0
54.5,167.6,0
50.2,160.0,0
60.3,161.3,0
58.3,167.6,0
56.2,165.1,0
50.2,160.0,0
72.9,170.0,0
59.8,157.5,0
61.0,167.6,0
69.1,160.7,0
55.9,163.2,0
46.5,152.4,0
54.3,157.5,0
54.8,168.3,0
60.7,180.3,0
60.0,165.5,0
62.0,165.0,0
60.3,164.5,0
52.7,156.0,0
74.3,160.0,0
62.0,163.0,0
73.1,165.7,0
80.0,161.0,0
54.7,162.0,0
53.2,166.0,0
75.7,174.0,0
61.1,172.7,0
55.7,167.6,0
48.7,151.1,0
52.3,164.5,0
50.0,163.5,0
59.3,152.0,0
62.5,169.0,0
55.7,164.0,0
54.8,161.2,0
45.9,155.0,0
70.6,170.0,0
67.2,176.2,0
69.4,170.0,0
58.2,162.5,0
64.8,170.3,0
71.6,164.1,0
52.8,169.5,0
59.8,163.2,0
49.0,154.5,0
50.0,159.8,0
69.2,173.2,0
55.9,170.0,0
63.4,161.4,0
58.2,169.0,0
58.6,166.2,0
45.7,159.4,0
52.2,162.5,0
48.6,159.0,0
57.8,162.8,0
55.6,159.0,0
66.8,179.8,0
59.4,162.9,0
53.6,161.0,0
73.2,151.1,0
53.4,168.2,0
69.0,168.9,0
58.4,173.2,0
56.2,171.8,0
70.6,178.0,0
59.8,164.3,0
72.0,163.0,0
65.2,168.5,0
56.6,166.8,0
105.2,172.7,0
51.8,163.5,0
63.4,169.4,0
59.0,167.8,0
47.6,159.5,0
63.0,167.6,0
55.2,161.2,0
45.0,160.0,0
54.0,163.2,0
50.2,162.2,0
60.2,161.3,0
44.8,149.5,0
58.8,157.5,0
56.4,163.2,0
62.0,172.7,0
49.2,155.0,0
67.2,156.5,0
53.8,164.0,0
54.4,160.9,0
58.0,162.8,0
59.8,167.0,0
54.8,160.0,0
43.2,160.0,0
60.5,168.9,0
46.4,158.2,0
64.4,156.0,0
48.8,160.0,0
62.2,167.1,0
55.5,158.0,0
57.8,167.6,0
54.6,156.0,0
59.2,162.1,0
52.7,173.4,0
53.2,159.8,0
64.5,170.5,0
51.8,159.2,0
56.0,157.5,0
63.6,161.3,0
63.2,162.6,0
59.5,160.0,0
56.8,168.9,0
64.1,165.1,0
50.0,162.6,0
72.3,165.1,0
55.0,166.4,0
55.9,160.0,0
60.4,152.4,0
69.1,170.2,0
84.5,162.6,0
55.9,170.2,0
55.5,158.8,0
69.5,172.7,0
76.4,167.6,0
61.4,162.6,0
65.9,167.6,0
58.6,156.2,0
66.8,175.2,0
56.6,172.1,0
58.6,162.6,0
55.9,160.0,0
59.1,165.1,0
81.8,182.9,0
70.7,166.4,0
56.8,165.1,0
60.0,177.8,0
58.2,165.1,0
72.7,175.3,0
54.1,154.9,0
49.1,158.8,0
75.9,172.7,0
55.0,168.9,0
57.3,161.3,0
55.0,167.6,0
65.5,165.1,0
65.5,175.3,0
48.6,157.5,0
58.6,163.8,0
63.6,167.6,0
55.2,165.1,0
62.7,165.1,0
56.6,168.9,0
53.9,162.6,0
63.2,164.5,0
73.6,176.5,0
62.0,168.9,0
63.6,175.3,0
53.2,159.4,0
53.4,160.0,0
55.0,170.2,0
70.5,162.6,0
54.5,167.6,0
54.5,162.6,0
55.9,160.7,0
59.0,160.0,0
63.6,157.5,0
54.5,162.6,0
47.3,152.4,0
67.7,170.2,0
80.9,165.1,0
70.5,172.7,0
60.9,165.1,0
63.6,170.2,0
54.5,170.2,0
59.1,170.2,0
70.5,161.3,0
52.7,167.6,0
62.7,167.6,0
86.3,165.1,0
66.4,162.6,0
67.3,152.4,0
63.0,168.9,0
73.6,170.2,0
62.3,175.2,0
57.7,175.2,0
55.4,160.0,0
104.1,165.1,0
55.5,174.0,0
77.3,170.2,0
80.5,160.0,0
64.5,167.6,0
72.3,167.6,0
61.4,167.6,0
58.2,154.9,0
81.8,162.6,0
63.6,175.3,0
53.4,171.4,0
54.5,157.5,0
53.6,165.1,0
60.0,160.0,0
73.6,174.0,0
61.4,162.6,0
55.5,174.0,0
63.6,162.6,0
60.9,161.3,0
60.0,156.2,0
46.8,149.9,0
57.3,169.5,0
64.1,160.0,0
63.6,175.3,0
67.3,169.5,0
75.5,160.0,0
68.2,172.7,0
61.4,162.6,0
76.8,157.5,0
71.8,176.5,0
55.5,164.4,0
48.6,160.7,0
66.4,174.0,0
67.3,163.8,0
